elapsed_time,distance,sensor,x_pos,y_pos,value,condition,position,section,section2
7655,0.5,1_1,1,1,45.31,0.5 cm,1,Outside,Corner
7708,0.5,1_1,1,1,44.23,0.5 cm,1,Outside,Corner
7761,0.5,1_1,1,1,45.77,0.5 cm,1,Outside,Corner
7815,0.5,1_1,1,1,45.15,0.5 cm,1,Outside,Corner
7869,0.5,1_1,1,1,45.31,0.5 cm,1,Outside,Corner
7922,0.5,1_1,1,1,44.15,0.5 cm,1,Outside,Corner
7975,0.5,1_1,1,1,45.54,0.5 cm,1,Outside,Corner
8030,0.5,1_1,1,1,45.23,0.5 cm,1,Outside,Corner
8083,0.5,1_1,1,1,46.08,0.5 cm,1,Outside,Corner
8136,0.5,1_1,1,1,44.08,0.5 cm,1,Outside,Corner
8189,0.5,1_1,1,1,45.23,0.5 cm,1,Outside,Corner
8243,0.5,1_1,1,1,45,0.5 cm,1,Outside,Corner
8297,0.5,1_1,1,1,46.54,0.5 cm,1,Outside,Corner
8350,0.5,1_1,1,1,44.92,0.5 cm,1,Outside,Corner
8403,0.5,1_1,1,1,44.92,0.5 cm,1,Outside,Corner
8458,0.5,1_1,1,1,44.23,0.5 cm,1,Outside,Corner
8511,0.5,1_1,1,1,45.92,0.5 cm,1,Outside,Corner
8564,0.5,1_1,1,1,44.69,0.5 cm,1,Outside,Corner
8617,0.5,1_1,1,1,45.46,0.5 cm,1,Outside,Corner
8672,0.5,1_1,1,1,43.77,0.5 cm,1,Outside,Corner
8725,0.5,1_1,1,1,45.15,0.5 cm,1,Outside,Corner
8779,0.5,1_1,1,1,45.08,0.5 cm,1,Outside,Corner
8833,0.5,1_1,1,1,45.31,0.5 cm,1,Outside,Corner
8887,0.5,1_1,1,1,44.31,0.5 cm,1,Outside,Corner
8940,0.5,1_1,1,1,45.08,0.5 cm,1,Outside,Corner
8993,0.5,1_1,1,1,44.23,0.5 cm,1,Outside,Corner
9048,0.5,1_1,1,1,45.54,0.5 cm,1,Outside,Corner
9101,0.5,1_1,1,1,44.15,0.5 cm,1,Outside,Corner
9154,0.5,1_1,1,1,45.15,0.5 cm,1,Outside,Corner
9208,0.5,1_1,1,1,44.31,0.5 cm,1,Outside,Corner
9262,0.5,1_1,1,1,45.31,0.5 cm,1,Outside,Corner
9315,0.5,1_1,1,1,44.08,0.5 cm,1,Outside,Corner
9369,0.5,1_1,1,1,45.31,0.5 cm,1,Outside,Corner
9422,0.5,1_1,1,1,44.23,0.5 cm,1,Outside,Corner
9476,0.5,1_1,1,1,45.77,0.5 cm,1,Outside,Corner
9530,0.5,1_1,1,1,44.92,0.5 cm,1,Outside,Corner
9583,0.5,1_1,1,1,45.38,0.5 cm,1,Outside,Corner
9636,0.5,1_1,1,1,44.08,0.5 cm,1,Outside,Corner
9690,0.5,1_1,1,1,44.92,0.5 cm,1,Outside,Corner
9744,0.5,1_1,1,1,44.38,0.5 cm,1,Outside,Corner
9797,0.5,1_1,1,1,45.54,0.5 cm,1,Outside,Corner
9851,0.5,1_1,1,1,44.38,0.5 cm,1,Outside,Corner
9905,0.5,1_1,1,1,45.23,0.5 cm,1,Outside,Corner
9959,0.5,1_1,1,1,44.23,0.5 cm,1,Outside,Corner
10012,0.5,1_1,1,1,46,0.5 cm,1,Outside,Corner
10065,0.5,1_1,1,1,44.23,0.5 cm,1,Outside,Corner
10119,0.5,1_1,1,1,45.15,0.5 cm,1,Outside,Corner
10173,0.5,1_1,1,1,44.08,0.5 cm,1,Outside,Corner
0,1,1_1,1,1,39.08,1 cm,1,Outside,Corner
53,1,1_1,1,1,40.46,1 cm,1,Outside,Corner
106,1,1_1,1,1,39.38,1 cm,1,Outside,Corner
159,1,1_1,1,1,40.69,1 cm,1,Outside,Corner
212,1,1_1,1,1,39.46,1 cm,1,Outside,Corner
